"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
14-8664,CEDAR,14,TIF WEST FIELD ACRES PROJ 1,1/1/2012,HARTINGTON,HARTINGTON 8,14-0008,,3,"Name of Project: West Field Acres Proj 1
Lot 1 Blk 1 & Lot 4 Blk 3 Westfield Acres
Description: Infrastucture installation for housing",2013,1245,590920,0,0,0,0,0,0,,1245,590920,1.687448,9971.48,21.01
14-8667,CEDAR,14,TIF LAUREL REDEVL 1,1/1/2012,LAUREL,LAUREL-CONCORD 54,14-0054,,3,"Name of Project: Laurel Redevelope Proj 1
Lots 1-4, Blk 6 Goltz's-Laurel Addition
Description: General downtown development",2012,0,0,202945,207720,0,0,0,0,,202945,207720,1.881507,3908.28,3818.42
14-8667,CEDAR,14,TIF LAUREL REDEVL 1,1/1/2012,LAUREL,LAUREL-CONCORD 54,14-0054,,3,"Name of Project: Laurel Redevelope Proj 1
Lots 1-4, Blk 6 Goltz's-Laurel Addition
Description: General downtown development",2013,0,0,202945,269320,0,0,0,0,,202945,269320,1.633733,4399.98,3315.58
14-8668,CEDAR,14,TIF WEST FIELD ACRES PROJ 2,1/1/2013,HARTINGTON,HARTINGTON 8,14-0008,,3,"Name of Project: West Field Acres Project 2
Lots 3 & 4 Block 1 and Lot 5 Block 3, West Field Acres
Description of Project: Infrastructure installation for housing",2013,84075,442480,0,0,0,0,0,0,,84075,442480,1.687448,7466.62,1418.72
14-8669,CEDAR,14,"TIF JOBOTI, LLC",1/1/2013,LAUREL,LAUREL-CONCORD 54,14-0054,,3,"Name of Project: Joboti, LLC
Lot 7 of Replat of North West Industrial Addition Laurel
Description of Project: Site acquisition, preparation, and infrastructure installation for manufacturing facility.",2013,0,0,8920,518840,0,0,0,0,,8920,518840,1.633733,8476.46,145.73
14-8670,CEDAR,14,TIF TAYLOR SEED,1/1/2013,LAUREL,LAUREL-CONCORD 54,14-0054,,3,"Name of Project: Taylor Seeds, LLC
Lot 2 North West Industrial Addition Laurel
Description of Project: Site acquisition, preparation and infrastructure installation for commercial facility.",2013,0,0,9380,238920,0,0,0,0,,9380,238920,1.633733,3903.32,153.24
16-8621,CHERRY,16,TIF DANIELSKI WESTERN OIL,7/15/2008,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Danielski Harvesting & Farming, LLC (includes Western Oil)
Lots 10-13, Westgate Addition, and, Part of NE1/4 Section 1, Range 33N, Range 28
Description: TIF funds used for the construction, equiping, and furnishing of electrical, water, sewer, and telephonic extensions and improvements necessary to service the facilities.",2008,0,0,225770,0,0,0,0,0,,225770,0,1.87022,0,4222.4
16-8621,CHERRY,16,TIF DANIELSKI WESTERN OIL,7/15/2008,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Danielski Harvesting & Farming, LLC (includes Western Oil)
Lots 10-13, Westgate Addition, and, Part of NE1/4 Section 1, Range 33N, Range 28
Description: TIF funds used for the construction, equiping, and furnishing of electrical, water, sewer, and telephonic extensions and improvements necessary to service the facilities.",2009,0,0,225770,749656,0,0,0,0,,225770,749656,1.880895,14100.24,4246.5
16-8621,CHERRY,16,TIF DANIELSKI WESTERN OIL,7/15/2008,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Danielski Harvesting & Farming, LLC (includes Western Oil)
Lots 10-13, Westgate Addition, and, Part of NE1/4 Section 1, Range 33N, Range 28
Description: TIF funds used for the construction, equiping, and furnishing of electrical, water, sewer, and telephonic extensions and improvements necessary to service the facilities.",2010,0,0,225770,749656,0,0,0,0,,225770,749656,1.841306,13803.46,4157.12
16-8621,CHERRY,16,TIF DANIELSKI WESTERN OIL,7/15/2008,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Danielski Harvesting & Farming, LLC (includes Western Oil)
Lots 10-13, Westgate Addition, and, Part of NE1/4 Section 1, Range 33N, Range 28
Description: TIF funds used for the construction, equiping, and furnishing of electrical, water, sewer, and telephonic extensions and improvements necessary to service the facilities.",2011,0,0,225770,749656,0,0,0,0,,225770,749656,1.824759,13679.42,4119.76
16-8621,CHERRY,16,TIF DANIELSKI WESTERN OIL,7/15/2008,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Danielski Harvesting & Farming, LLC (includes Western Oil)
Lots 10-13, Westgate Addition, and, Part of NE1/4 Section 1, Range 33N, Range 28
Description: TIF funds used for the construction, equiping, and furnishing of electrical, water, sewer, and telephonic extensions and improvements necessary to service the facilities.",2012,0,0,225770,749656,0,0,0,0,,225770,749656,1.801912,13508.14,4068.18
16-8621,CHERRY,16,TIF DANIELSKI WESTERN OIL,7/15/2008,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Danielski Harvesting & Farming, LLC (includes Western Oil)
Lots 10-13, Westgate Addition, and, Part of NE1/4 Section 1, Range 33N, Range 28
Description: TIF funds used for the construction, equiping, and furnishing of electrical, water, sewer, and telephonic extensions and improvements necessary to service the facilities.",2013,0,0,225770,749656,0,0,0,0,,225770,749656,1.740574,13048.32,3929.69
16-8622,CHERRY,16,TIF RANCHLAND FOODS,1/8/2009,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Scott Millard (Ranchland Foods)
Lots 21-26 and the South 45 feet of Lot 27, Block 3, Kautz Addition
Description: TIF funds used for the acquisition of property, construction and equipping of a public parking lot and certain other improvements to service the needs of a grocery store.",2009,0,0,35100,0,0,0,0,0,,35100,0,1.880895,0,660.19
16-8622,CHERRY,16,TIF RANCHLAND FOODS,1/8/2009,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Scott Millard (Ranchland Foods)
Lots 21-26 and the South 45 feet of Lot 27, Block 3, Kautz Addition
Description: TIF funds used for the acquisition of property, construction and equipping of a public parking lot and certain other improvements to service the needs of a grocery store.",2010,0,0,78549,1033571,0,0,0,0,,78549,1033571,1.841306,19031.2,1446.33
16-8622,CHERRY,16,TIF RANCHLAND FOODS,1/8/2009,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Scott Millard (Ranchland Foods)
Lots 21-26 and the South 45 feet of Lot 27, Block 3, Kautz Addition
Description: TIF funds used for the acquisition of property, construction and equipping of a public parking lot and certain other improvements to service the needs of a grocery store.",2011,0,0,78549,1033571,0,0,0,0,,78549,1033571,1.824759,18860.18,1433.33
16-8622,CHERRY,16,TIF RANCHLAND FOODS,1/8/2009,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Scott Millard (Ranchland Foods)
Lots 21-26 and the South 45 feet of Lot 27, Block 3, Kautz Addition
Description: TIF funds used for the acquisition of property, construction and equipping of a public parking lot and certain other improvements to service the needs of a grocery store.",2012,0,0,78549,1033571,0,0,0,0,,78549,1033571,1.801912,18624.04,1415.38
16-8622,CHERRY,16,TIF RANCHLAND FOODS,1/8/2009,VALENTINE,VALENTINE HIGH 6,16-0006,,3,"Name of Project: Scott Millard (Ranchland Foods)
Lots 21-26 and the South 45 feet of Lot 27, Block 3, Kautz Addition
Description: TIF funds used for the acquisition of property, construction and equipping of a public parking lot and certain other improvements to service the needs of a grocery store.",2013,0,0,78549,1033571,0,0,0,0,,78549,1033571,1.740574,17990.06,1367.2
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",1999,0,0,195111,0,0,0,0,0,,195111,0,2.06878,0,4036.42
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2000,0,0,195111,1859813,0,0,0,0,,195111,1859813,1.982748,36875.41,3868.56
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2001,0,0,195111,2066686,0,0,0,0,,195111,2066686,1.926238,39809.29,3758.3
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2002,0,0,195111,2269886,0,0,0,0,,195111,2269886,2.01662,45774.98,3934.65
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2003,0,0,195111,2276710,0,0,0,0,,195111,2276710,2.086306,47499.14,4070.61
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2004,0,0,195111,2339740,0,0,0,0,,195111,2339740,2.143996,50163.93,4183.17
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2005,0,0,195111,2339740,0,0,0,0,,195111,2339740,2.035134,47616.84,3970.77
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2006,0,0,195111,2653695,0,0,0,0,,195111,2653695,2.127087,56446.4,4150.18
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2007,0,0,195111,2653695,0,0,0,0,,195111,2653695,2.322847,61641.28,4532.13
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2008,0,0,195111,2653695,0,0,0,0,,195111,2653695,2.334612,61953.48,4555.08
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2009,0,0,195111,2789326,0,0,0,0,,195111,2789326,2.32114,64744.16,4528.8
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2010,0,0,195111,2789326,0,0,0,0,,195111,2789326,2.330235,64997.84,4546.54
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2011,0,0,195111,2789326,0,0,0,0,,195111,2789326,2.321706,64759.96,4529.9
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2012,0,0,195111,2791800,0,0,0,0,,195111,2791800,2.34205,65385.34,4569.6
17-4040,CHEYENNE,17,TIF WILKINSON DEVELOPMENT,3/30/1999,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Wilkinson Development
Lot 4B, Block 1, Arby's Addition
Description: TIF funds used for excavation work and relocation of utility lines in order to construct retail shopping facilities.",2013,0,0,195111,2801959,0,0,0,0,,195111,2801959,2.323405,65100.84,4533.22
17-4060,CHEYENNE,17,TIF CABELA'S PROJ 2007,10/22/2007,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Cabela's Inc (Cabela""s Ventures) 2007 Projcect
530 Illinois St; 542 Illinois St; McGiven Property; 630 Illinois St.
Description: TIF funds used for an expansion of and improvements to Cabela's downtown corporate facility. The expansion will provide approximately 44,000 sq ft of usable space and is expected to bring added employment into the downtown.",2008,0,0,1204401,1994203,0,0,0,0,,1204401,1994203,2.334612,46556.9,28118.09
17-4060,CHEYENNE,17,TIF CABELA'S PROJ 2007,10/22/2007,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Cabela's Inc (Cabela""s Ventures) 2007 Projcect
530 Illinois St; 542 Illinois St; McGiven Property; 630 Illinois St.
Description: TIF funds used for an expansion of and improvements to Cabela's downtown corporate facility. The expansion will provide approximately 44,000 sq ft of usable space and is expected to bring added employment into the downtown.",2009,0,0,1204401,2030573,0,0,0,0,,1204401,2030573,2.32114,47132.44,27955.83
17-4060,CHEYENNE,17,TIF CABELA'S PROJ 2007,10/22/2007,SIDNEY,SIDNEY 1,17-0001,,3,"Name of Project: Cabela's Inc (Cabela""s Ventures) 2007 Projcect
530 Illinois St; 542 Illinois St; McGiven Property; 630 Illinois St.
Description: TIF funds used for an expansion of and improvements to Cabela's downtown corporate facility. The expansion will provide approximately 44,000 sq ft of usable space and is expected to bring added employment into the downtown.",2010,0,0,1204401,2030573,0,0,0,0,,1204401,2030573,2.330235,47317.12,28065.37
